profile_name,workload,lifestyle,budget,os_preference,rec1_nombre,rec1_id,rec1_precio_ars,rec2_nombre,rec2_id,rec2_precio_ars,rec3_nombre,rec3_id,rec3_precio_ars,notas
El Creativo Fijo,productividad_estudio,escritorio_fijo,equilibrado,macos,Mac mini M4 16GB/256GB,d8d84f9f,1750000,MacBook Air M2 13" 8GB/512GB,b81d5496,1700000,MacBook Air M2 15" 8GB/256GB,bcda6661,2800000,
El Sysadmin Hogareno,productividad_estudio,escritorio_fijo,equilibrado,abierto,HP 255 G10 Ryzen7 7730U 16GB 512GB,5e69524a,1599999,Lenovo ThinkPad E16 Ryzen5 7535HS 16GB 512GB,69793a15,1899000,MacBook Air M2 13" 8GB/512GB,b81d5496,1700000,
El Ejecutivo Viajante,productividad_estudio,maxima_portabilidad,premium,windows,Asus Zenbook A14 Snapdragon X 16GB 512GB,cd8f5a83,2363799,LG Gram Touch 15.6" i7 16GB 512GB,0fb2997b,3231000,Lenovo Yoga Slim 7 14" Ryzen7 8GB 512GB,886ef4f6,1865996,
El Emprendedor Ligero,productividad_estudio,maxima_portabilidad,premium,macos,MacBook Air M4 13" 16GB/256GB,6bd3cfa5,2250000,MacBook Air M3 13" 8GB Silver,a96bb526,2399000,MacBook Air M4 13" 16GB/512GB,92ccdffe,2999990,
El Tech Lead Nomade,productividad_estudio,maxima_portabilidad,premium,abierto,MacBook Air M4 13" 16GB/256GB,6bd3cfa5,2250000,Asus Zenbook A14 Snapdragon X 16GB 512GB,cd8f5a83,2363799,LG Gram Touch 15.6" i7 16GB 512GB,0fb2997b,3231000,
El Manager Productivo,productividad_estudio,movil_flexible,premium,windows,Lenovo Yoga 7i 16" i7 256V 16GB 1TB,8eddd7fa,2299999,LG Gram 17" i7 16GB 1TB,4bf85614,3199997,Lenovo IdeaPad Slim 5 16" i7 16GB,bdaa1838,4274998,
El Profesional Premium,productividad_estudio,movil_flexible,premium,macos,MacBook Air M4 13" 16GB/256GB,6bd3cfa5,2250000,MacBook Air M2 15" 8GB/256GB,bcda6661,2800000,MacBook Air M3 13" 24GB/512GB,dbfe7523,3839990,
El Arquitecto de Software,productividad_estudio,movil_flexible,premium,abierto,MacBook Air M4 13" 16GB/256GB,6bd3cfa5,2250000,Lenovo Yoga 7i 16" i7 256V 16GB,8eddd7fa,2299999,MacBook Air M3 13" 24GB/512GB,dbfe7523,3839990,
El Director de Proyecto,productividad_estudio,escritorio_fijo,premium,windows,Lenovo Yoga 7i 16" i7 256V 16GB 1TB,8eddd7fa,2299999,LG Gram 17" i7 16GB 1TB,4bf85614,3199997,Lenovo IdeaPad Slim 5 16" i7 16GB,bdaa1838,4274998,
El Mac Devotee,productividad_estudio,escritorio_fijo,premium,macos,MacBook Air M4 13" 16GB/256GB,6bd3cfa5,2250000,MacBook Pro M4 14" 16GB/512GB,173d70d4,3500000,MacBook Pro M4 Pro 14" 24GB/512GB,d13ca84b,4890000,
El Ingeniero de Infraestructura,productividad_estudio,escritorio_fijo,premium,abierto,MacBook Pro M4 14" 16GB/512GB,173d70d4,3500000,LG Gram 17" i7 16GB 1TB,4bf85614,3199997,MacBook Air M3 13" 24GB/512GB,dbfe7523,3839990,
El Disenador Ambulante,creacion_desarrollo,maxima_portabilidad,esencial,windows,HP EliteBook 845 G8 Ryzen5 Pro 16GB 256GB,8083bc0c,497680,Asus Vivobook 14 i3 1215U 8GB 128GB,e4e726c7,767000,Lenovo IdeaPad 1 14" N4500 4GB 128GB,1633a121,455000,HP EliteBook es la joya del rango: 16GB Ryzen5 Pro a $497k
El Disenador Aspiracional,creacion_desarrollo,maxima_portabilidad,esencial,macos,MacBook Air M2 13" 8GB/512GB,b81d5496,1700000,MacBook Air M2 13" 8GB/256GB,ff382032,1900000,,,,Sin Mac en rango esencial. M2 es la entrada mínima
El Dev Indie Portable,creacion_desarrollo,maxima_portabilidad,esencial,abierto,HP EliteBook 845 G8 Ryzen5 Pro 16GB 256GB,8083bc0c,497680,EXO Exolite L1 Linux 11" 8GB 480GB,6b371488,577199,Asus Vivobook 14 i3 1215U 8GB 128GB,e4e726c7,767000,
El Aprendiz de Codigo,creacion_desarrollo,movil_flexible,esencial,windows,HP EliteBook 845 G8 Ryzen5 Pro 16GB 256GB,8083bc0c,497680,Asus Vivobook 14 i3 1215U 8GB 128GB,e4e726c7,767000,Gfast N-321r Ryzen3 8GB 240GB,a6b1908e,634999,
El Designer Junior,creacion_desarrollo,movil_flexible,esencial,macos,MacBook Air M2 13" 8GB/512GB,b81d5496,1700000,MacBook Air M2 13" 8GB/256GB,ff382032,1900000,,,,Sin Mac en rango esencial
El Coder Autodidacta,creacion_desarrollo,movil_flexible,esencial,abierto,HP EliteBook 845 G8 Ryzen5 Pro 16GB 256GB,8083bc0c,497680,Gfast N-536r Ryzen5 8GB 480GB,776cf870,749999,Asus Vivobook 14 i3 1215U 8GB 128GB,e4e726c7,767000,
El Programador Hogareno,creacion_desarrollo,escritorio_fijo,esencial,windows,HP EliteBook 845 G8 Ryzen5 Pro 16GB 256GB,8083bc0c,497680,Asus Vivobook Go 15 N100 4GB 128GB,a14cfd33,505469,Gfast N-536r Ryzen5 8GB 480GB,776cf870,749999,
El Disenador Novato Fijo,creacion_desarrollo,escritorio_fijo,esencial,macos,Mac mini M4 16GB/256GB,d8d84f9f,1750000,MacBook Air M2 13" 8GB/512GB,b81d5496,1700000,,,,Sin Mac en rango esencial. Mac mini es la mejor opción para escritorio
El Linux Enthusiast,creacion_desarrollo,escritorio_fijo,esencial,abierto,HP EliteBook 845 G8 Ryzen5 Pro 16GB 256GB,8083bc0c,497680,EXO Exolite L1 Linux 11" 8GB 480GB,6b371488,577199,Gfast N-536r Ryzen5 8GB 480GB,776cf870,749999,
El Desarrollador Viajero,creacion_desarrollo,maxima_portabilidad,equilibrado,windows,Asus Vivobook 14 i3 16GB 512GB,5bb8c8b3,1076286,Dell Inspiron 14 5440 i5 16GB DDR5 512GB,143cbd8b,1576499,Lenovo ThinkPad T495 14" Ryzen5 8GB 256GB,3879e975,1802844,
El Indie Dev Movil,creacion_desarrollo,maxima_portabilidad,equilibrado,macos,MacBook Air M2 13" 8GB/512GB,b81d5496,1700000,MacBook Air M2 13" 8GB/256GB,ff382032,1900000,MacBook Air M4 13" 16GB/256GB,6bd3cfa5,2250000,M2 es el mejor ratio precio/rendimiento para dev
El Contributor Nomade,creacion_desarrollo,maxima_portabilidad,equilibrado,abierto,Asus Vivobook 14 i3 16GB 512GB,5bb8c8b3,1076286,Dell Inspiron 14 5440 i5 16GB DDR5 512GB,143cbd8b,1576499,MacBook Air M2 13" 8GB/512GB,b81d5496,1700000,
El Dev Freelance,creacion_desarrollo,movil_flexible,equilibrado,windows,Lenovo V15 Ryzen5 7520U 16GB 512GB,acac6672,1368699,Asus Vivobook 14 i3 16GB 512GB,5bb8c8b3,1076286,HP 15-fc0047 Ryzen7 7730U 16GB Touch,bdc35ae8,1559999,
El UX Designer,creacion_desarrollo,movil_flexible,equilibrado,macos,MacBook Air M2 13" 8GB/512GB,b81d5496,1700000,MacBook Air M2 13" 8GB/256GB,ff382032,1900000,MacBook Air M4 13" 16GB/256GB,6bd3cfa5,2250000,
El Backend Engineer,creacion_desarrollo,movil_flexible,equilibrado,abierto,MacBook Air M2 13" 8GB/512GB,b81d5496,1700000,Lenovo V15 Ryzen5 7520U 16GB 512GB,acac6672,1368699,Dell Inspiron 14 5440 i5 16GB DDR5 512GB,143cbd8b,1576499,
El Game Dev Indie,creacion_desarrollo,escritorio_fijo,equilibrado,windows,Lenovo V15 Ryzen5 7520U 16GB 512GB,acac6672,1368699,HP 255r G10 Ryzen7 7735U 16GB 512GB,d1289b4e,1599999,Lenovo ThinkPad E16 Ryzen5 7535HS 16GB 512GB,69793a15,1899000,
El Productor Musical,creacion_desarrollo,escritorio_fijo,equilibrado,macos,Mac mini M4 16GB/256GB,d8d84f9f,1750000,MacBook Air M2 13" 8GB/512GB,b81d5496,1700000,MacBook Air M2 15" 8GB/256GB,bcda6661,2800000,Mac mini M4 es ideal para producción musical en escritorio
El DevOps Domestico,creacion_desarrollo,escritorio_fijo,equilibrado,abierto,Mac mini M4 16GB/256GB,d8d84f9f,1750000,HP 255r G10 Ryzen7 7735U 16GB 512GB,d1289b4e,1599999,Lenovo ThinkPad E16 Ryzen5 7535HS 16GB 512GB,69793a15,1899000,
El Creador en Movimiento,creacion_desarrollo,maxima_portabilidad,premium,windows,Asus Zenbook A14 Snapdragon X 16GB 512GB,cd8f5a83,2363799,Asus Zenbook 14 OLED Ryzen7 8840HS 16GB 1TB,9cb88fc3,2643699,LG Gram Touch 15.6" i7 16GB 512GB,0fb2997b,3231000,Zenbook A14 pesa 980g — el más liviano del catálogo
El Artista Digital Nomade,creacion_desarrollo,maxima_portabilidad,premium,macos,MacBook Air M4 13" 16GB/256GB,6bd3cfa5,2250000,MacBook Air M3 13" 8GB Silver,a96bb526,2399000,MacBook Pro M3 14" 16GB/512GB,521c6fbe,3500000,
El Full Stack Sin Fronteras,creacion_desarrollo,maxima_portabilidad,premium,abierto,MacBook Air M4 13" 16GB/256GB,6bd3cfa5,2250000,Asus Zenbook A14 Snapdragon X 16GB 512GB,cd8f5a83,2363799,MacBook Pro M3 14" 16GB/512GB,521c6fbe,3500000,
El Creador de Contenido,creacion_desarrollo,movil_flexible,premium,windows,Lenovo Yoga 7 16" Ryzen AI 7 350 16GB 1TB,8f8ac311,2100000,Asus Zenbook 14 OLED Ryzen7 8840HS 16GB 1TB,9cb88fc3,2643699,Lenovo Yoga 7i 16" i7 256V 16GB 1TB,8eddd7fa,2299999,
El Motion Designer,creacion_desarrollo,movil_flexible,premium,macos,MacBook Air M4 13" 16GB/256GB,6bd3cfa5,2250000,MacBook Pro M3 14" 16GB/512GB,521c6fbe,3500000,MacBook Pro M4 14" 16GB/512GB,173d70d4,3500000,
El Tech Architect,creacion_desarrollo,movil_flexible,premium,abierto,MacBook Air M4 13" 16GB/256GB,6bd3cfa5,2250000,MacBook Pro M4 14" 16GB/512GB,173d70d4,3500000,Lenovo Yoga 7i 16" i7 256V 16GB 1TB,8eddd7fa,2299999,
El Streamer Profesional,creacion_desarrollo,escritorio_fijo,premium,windows,Acer Nitro V15 Ryzen5 7535HS RTX3050,86a27c69,2059499,MSI Cyborg i7 240H RTX5060 16GB 512GB,0e82bcd6,2534026,Lenovo LOQ 15 i5 RTX3050 12GB 512GB,33aa44b6,2251193,GPU dedicada para OBS + render
El Editor Profesional,creacion_desarrollo,escritorio_fijo,premium,macos,MacBook Pro M3 14" 16GB/512GB,521c6fbe,3500000,MacBook Air M3 13" 24GB/512GB,dbfe7523,3839990,MacBook Pro M4 Pro 14" 24GB/512GB,d13ca84b,4890000,
El Senior Dev de Casa,creacion_desarrollo,escritorio_fijo,premium,abierto,MacBook Pro M4 Pro 14" 24GB/512GB,d13ca84b,4890000,MacBook Pro M4 Pro 16" 24GB/512GB,0f5ccbb1,4999999,Lenovo Yoga 7i 16" i7 256V 16GB 1TB,8eddd7fa,2299999,
El Gamer Mochilero,gaming_rendimiento,maxima_portabilidad,esencial,windows,Lenovo LOQ 15 i5 12450HX 8GB 512GB,0b107ddb,1282499,HP Victus 15 i5 13420H 8GB 512GB,a1bb3190,1495000,HP Victus Gaming 15 i5 12450H 8GB 512GB,44e92daf,1549999,Gaming esencial supera $1.2M — no hay gaming laptop más barata disponible
El Gamer Casual Apple,gaming_rendimiento,maxima_portabilidad,esencial,macos,MacBook Air M2 13" 8GB/512GB,b81d5496,1700000,MacBook Air M2 13" 8GB/256GB,ff382032,1900000,,,,Sin GPU dedicada en Mac. M2 GPU integrada para gaming casual
El Gamer Retro Portable,gaming_rendimiento,maxima_portabilidad,esencial,abierto,Lenovo LOQ 15 i5 12450HX 8GB 512GB,0b107ddb,1282499,HP Victus 15 i5 13420H 8GB 512GB,a1bb3190,1495000,MacBook Air M2 13" 8GB/512GB,b81d5496,1700000,Mac con Whisky/Crossover para retro gaming
El Gamer Entre Clases,gaming_rendimiento,movil_flexible,esencial,windows,Lenovo IdeaPad Gaming 3 15ARH05,3dd29d8f,1375000,HP Victus 15 Ryzen5 7535HS 16GB 512GB,8bed7e83,1377699,HP Victus 15 i5 13420H 8GB 512GB,a1bb3190,1495000,
El Noob Apple Gamer,gaming_rendimiento,movil_flexible,esencial,macos,MacBook Air M2 13" 8GB/512GB,b81d5496,1700000,MacBook Air M2 13" 8GB/256GB,ff382032,1900000,,,,Sin GPU dedicada en Mac. Juegos indie y emuladores funcionan bien
El Gamer Open Source,gaming_rendimiento,movil_flexible,esencial,abierto,Lenovo IdeaPad Gaming 3 15ARH05,3dd29d8f,1375000,HP Victus 15 Ryzen5 7535HS 16GB 512GB,8bed7e83,1377699,HP Victus 15 i5 13420H 8GB 512GB,a1bb3190,1495000,Todas corren Linux con drivers Nvidia/AMD
El Gamer Casual Hogareno,gaming_rendimiento,escritorio_fijo,esencial,windows,Lenovo IdeaPad Gaming 3 15ARH05,3dd29d8f,1375000,HP Victus 15 Ryzen5 7535HS 16GB 512GB,8bed7e83,1377699,HP Victus Gaming 15 i5 12450H 8GB 512GB,44e92daf,1549999,
El Gamer Apple de Base,gaming_rendimiento,escritorio_fijo,esencial,macos,Mac mini M4 16GB/256GB,d8d84f9f,1750000,MacBook Air M2 13" 8GB/512GB,b81d5496,1700000,,,,GPU Metal del M4/M2 para gaming casual. Sin GPU dedicada
El Retrogamer Linux,gaming_rendimiento,escritorio_fijo,esencial,abierto,Lenovo IdeaPad Gaming 3 15ARH05,3dd29d8f,1375000,HP Victus 15 Ryzen5 7535HS 16GB 512GB,8bed7e83,1377699,HP Victus 15 i5 13420H 8GB 512GB,a1bb3190,1495000,
El Competitivo Viajero,gaming_rendimiento,maxima_portabilidad,equilibrado,windows,Acer Predator Triton 14 i7 16GB RTX4050,c3bb1a5f,2300000,Acer Nitro V15 Ryzen5 7535HS RTX3050,86a27c69,2059499,MSI Cyborg i7 240H RTX5060 16GB 512GB,0e82bcd6,2534026,Triton 14 es el más compacto con GPU dedicada
El Indie Gamer Mac,gaming_rendimiento,maxima_portabilidad,equilibrado,macos,MacBook Air M4 13" 16GB/256GB,6bd3cfa5,2250000,MacBook Air M3 13" 8GB Silver,a96bb526,2399000,,,,Metal GPU — juegos nativos macOS + emulación
El LAN Party Libre,gaming_rendimiento,maxima_portabilidad,equilibrado,abierto,Acer Predator Triton 14 i7 16GB RTX4050,c3bb1a5f,2300000,Acer Nitro V15 Ryzen5 7535HS RTX3050,86a27c69,2059499,MacBook Air M3 13" 8GB Silver,a96bb526,2399000,
El Gamer Balanceado,gaming_rendimiento,movil_flexible,equilibrado,windows,Acer Nitro V15 Ryzen5 7535HS RTX3050,86a27c69,2059499,HP Victus 16 i5 32GB RTX3050 144hz,c3ad0009,2100000,Lenovo LOQ 15 i5 RTX3050 12GB 512GB,33aa44b6,2251193,
El Creator Gamer,gaming_rendimiento,movil_flexible,equilibrado,macos,MacBook Air M4 13" 16GB/256GB,6bd3cfa5,2250000,MacBook Air M3 13" 8GB Silver,a96bb526,2399000,MacBook Pro M3 14" 16GB/512GB,521c6fbe,3500000,
El Gamer Tecnico,gaming_rendimiento,movil_flexible,equilibrado,abierto,Acer Nitro V15 Ryzen5 7535HS RTX3050,86a27c69,2059499,Lenovo LOQ 15 i5 RTX3050 12GB 512GB,33aa44b6,2251193,MacBook Air M3 13" 8GB Silver,a96bb526,2399000,
El Gamer Serio,gaming_rendimiento,escritorio_fijo,equilibrado,windows,HP Victus 16 i5 32GB RTX3050 144hz,c3ad0009,2100000,Lenovo LOQ 15 i5 RTX3050 12GB 512GB,33aa44b6,2251193,Acer Nitro V16 Ryzen5 RTX5050 16GB 512GB,914da3c1,2399999,
El Mac Gamer Dedicado,gaming_rendimiento,escritorio_fijo,equilibrado,macos,Mac mini M4 16GB/256GB,d8d84f9f,1750000,MacBook Air M3 13" 8GB Silver,a96bb526,2399000,MacBook Air M4 13" 16GB/256GB,6bd3cfa5,2250000,Mac mini M4 con monitor externo — mejor setup Mac para gaming
El LAN Master,gaming_rendimiento,escritorio_fijo,equilibrado,abierto,Acer Nitro V15 Ryzen5 7535HS RTX3050,86a27c69,2059499,HP Victus 16 i5 32GB RTX3050 144hz,c3ad0009,2100000,Lenovo LOQ 15 i5 RTX3050 12GB 512GB,33aa44b6,2251193,
El Pro Gamer en Gira,gaming_rendimiento,maxima_portabilidad,premium,windows,Acer Predator Triton 14 i7 16GB RTX4050,c3bb1a5f,2300000,MSI Cyborg i7 240H RTX5060 16GB 512GB,0e82bcd6,2534026,Lenovo LOQ i7 12650HX RTX4050 12GB,c0193479,2660289,
El Gamer Ecosystem Apple,gaming_rendimiento,maxima_portabilidad,premium,macos,MacBook Air M4 13" 16GB/256GB,6bd3cfa5,2250000,MacBook Pro M3 14" 16GB/512GB,521c6fbe,3500000,MacBook Pro M4 14" 16GB/512GB,173d70d4,3500000,
El E-Sports Engineer,gaming_rendimiento,maxima_portabilidad,premium,abierto,Acer Predator Triton 14 i7 16GB RTX4050,c3bb1a5f,2300000,MSI Cyborg i7 240H RTX5060 16GB 512GB,0e82bcd6,2534026,MacBook Pro M3 14" 16GB/512GB,521c6fbe,3500000,
El Streamer Hibrido,gaming_rendimiento,movil_flexible,premium,windows,Acer Nitro V16 Ryzen5 240 RTX5050 16GB,914da3c1,2399999,Acer Nitro V15 i5 13420H RTX5050 16GB,428d0b26,2464599,Lenovo LOQ 15 Ryzen7 250 RTX5050 16GB,0682b0e1,2715999,
El Creator Gamer Premium,gaming_rendimiento,movil_flexible,premium,macos,MacBook Pro M3 14" 16GB/512GB,521c6fbe,3500000,MacBook Pro M4 14" 16GB/512GB,173d70d4,3500000,MacBook Air M3 13" 24GB/512GB,dbfe7523,3839990,
El Linux Gamer Entusiasta,gaming_rendimiento,movil_flexible,premium,abierto,Acer Nitro V16 Ryzen5 240 RTX5050 16GB,914da3c1,2399999,Lenovo LOQ 15 Ryzen7 250 RTX5050 16GB,0682b0e1,2715999,MacBook Pro M3 14" 16GB/512GB,521c6fbe,3500000,
El Gamer Hardcore,gaming_rendimiento,escritorio_fijo,premium,windows,HP Gamer Ryzen9 8940HX RTX5060 32GB,fd4afc5b,3220000,HP Omen 16 Ultra 7 255H RTX5060,bd436824,3325999,Acer Predator 16 i9 RTX4080 16GB 1TB,dbdab54b,4200000,
El Studio Gamer,gaming_rendimiento,escritorio_fijo,premium,macos,MacBook Pro M4 Pro 14" 24GB/512GB,d13ca84b,4890000,MacBook Pro M4 Pro 16" 24GB/512GB,0f5ccbb1,4999999,MacBook Pro M3 Pro 14" 18GB/512GB,3f21f3f2,4099999,
El Rey del Benchmark,gaming_rendimiento,escritorio_fijo,premium,abierto,HP Omen 16 Ultra 7 255H RTX5060,bd436824,3325999,Acer Predator 16 i9 RTX4080 16GB 1TB,dbdab54b,4200000,Lenovo LOQ 15 Ryzen7 64GB RTX5060 1TB,98ce231e,4577299,
